algorithm,room_level,room_width,room_height,room_seed,trial,steps,revisits,turns,coverage_percent,overlap_ratio,travel_distance_cm,cleaning_time_sec,reached_target
ZigZag+RandomEscape,complex,40,40,47,2,12159,11111,6790,90.0429,0.913809,243180,8106,true
RandomWalk,complex,40,40,47,3,200000,199450,8816,47.2961,0.99725,4e+06,133333,false
ZigZag+RandomEscape,complex,40,40,47,3,10439,9391,4706,90.0429,0.899607,208780,6959.33,true
RandomWalk,complex,40,40,47,4,200000,199450,8526,47.2961,0.99725,4e+06,133333,false
ZigZag+RandomEscape,complex,40,40,47,4,30578,29530,18697,90.0429,0.965727,611560,20385.3,true
ZigZag,simple,60,60,48,0,200000,197752,14782,66.3031,0.98876,4e+06,133333,false
ZigZag+WallFollow,simple,60,60,48,0,200000,197708,3682,67.6002,0.98854,4e+06,133333,false
RandomWalk,simple,60,60,48,0,200000,199765,3389,6.95755,0.998825,4e+06,133333,false
ZigZag+RandomEscape,simple,60,60,48,0,8718,5666,1556,90.0059,0.64992,174360,5812,true
RandomWalk,simple,60,60,48,1,200000,199765,3389,6.95755,0.998825,4e+06,133333,false
ZigZag+RandomEscape,simple,60,60,48,1,13443,10391,4915,90.0059,0.772967,268860,8962,true
RandomWalk,simple,60,60,48,2,200000,199765,3389,6.95755,0.998825,4e+06,133333,false
ZigZag+RandomEscape,simple,60,60,48,2,5402,2350,439,90.0059,0.435024,108040,3601.33,true
RandomWalk,simple,60,60,48,3,200000,199765,3389,6.95755,0.998825,4e+06,133333,false
ZigZag+RandomEscape,simple,60,60,48,3,12064,9012,3943,90.0059,0.747016,241280,8042.67,true
RandomWalk,simple,60,60,48,4,200000,199765,3389,6.95755,0.998825,4e+06,133333,false
ZigZag+RandomEscape,simple,60,60,48,4,10318,7266,2264,90.0059,0.704206,206360,6878.67,true
ZigZag,moderate,60,60,49,0,200000,199892,8162,3.53208,0.99946,4e+06,133333,false
ZigZag+WallFollow,moderate,60,60,49,0,200000,198829,137831,37.978,0.994145,4e+06,133333,false
RandomWalk,moderate,60,60,49,0,200000,198644,6231,43.9728,0.99322,4e+06,133333,false
ZigZag+RandomEscape,moderate,60,60,49,0,12655,9878,2535,90.0194,0.780561,253100,8436.67,true
RandomWalk,moderate,60,60,49,1,200000,198490,6225,48.9631,0.99245,4e+06,133333,false
ZigZag+RandomEscape,moderate,60,60,49,1,17716,14939,5602,90.0194,0.843249,354320,11810.7,true
RandomWalk,moderate,60,60,49,2,200000,198457,5985,50.0324,0.992285,4e+06,133333,false
ZigZag+RandomEscape,moderate,60,60,49,2,14913,12136,3921,90.0194,0.813787,298260,9942,true
RandomWalk,moderate,60,60,49,3,200000,198359,6444,53.208,0.991795,4e+06,133333,false
ZigZag+RandomEscape,moderate,60,60,49,3,13649,10872,3344,90.0194,0.796542,272980,9099.33,true
RandomWalk,moderate,60,60,49,4,200000,198438,6197,50.6481,0.99219,4e+06,133333,false
ZigZag+RandomEscape,moderate,60,60,49,4,18558,15781,6462,90.0194,0.850361,371160,12372,true
ZigZag,complex,60,60,50,0,200000,199827,199839,6.43967,0.999135,4e+06,133333,false
